Topic,Characteristic,Note,Total,
Knowledge of languages,              Serbian,,4950,
Knowledge of languages,"              Serbo-Croatian, n.i.e.",,185,
Knowledge of languages,            Slovak,,645,
Knowledge of languages,            Slovene (Slovenian),,995,
Knowledge of languages,            Ukrainian,,8620,
Knowledge of languages,"            Slavic languages, n.i.e.",,15,
Knowledge of languages,        Celtic languages,,80,
Knowledge of languages,          Irish,,55,
Knowledge of languages,          Scottish Gaelic,,0,
Knowledge of languages,          Welsh,,15,
Knowledge of languages,"          Celtic languages, n.i.e.",,0,
Knowledge of languages,        Germanic languages,,6755,
Knowledge of languages,          Frisian,,10,
Knowledge of languages,          High German languages,,5230,
Knowledge of languages,            German,,5190,
Knowledge of languages,            Pennsylvania German,,0,
Knowledge of languages,            Swiss German,,55,
Knowledge of languages,            Yiddish,,15,
Knowledge of languages,          Low Saxon-Low Franconian languages,,1190,
Knowledge of languages,            Afrikaans,,385,
Knowledge of languages,            Dutch,,745,
Knowledge of languages,"            Low German, n.o.s.",,0,
Knowledge of languages,            Low Saxon,,0,
Knowledge of languages,            Plautdietsch,,55,
Knowledge of languages,            Vlaams (Flemish),,25,
Knowledge of languages,          Scandinavian languages,,525,
Knowledge of languages,            Danish,,225,
Knowledge of languages,            Icelandic,,0,
Knowledge of languages,            Norwegian,,65,
Knowledge of languages,            Swedish,,265,
Knowledge of languages,"          Germanic languages, n.i.e.",,20,
Knowledge of languages,        Greek,,3320,
Knowledge of languages,        Indo-Iranian languages,,139200,
Knowledge of languages,          Indo-Aryan languages,,132170,
Knowledge of languages,            Assamese,,100,
Knowledge of languages,            Bengali,,6400,
Knowledge of languages,            Gujarati,,12330,
Knowledge of languages,            Hindi,,54740,
Knowledge of languages,            Kacchi,,605,
Knowledge of languages,            Kashmiri,,240,
Knowledge of languages,            Konkani,,1975,
Knowledge of languages,            Marathi,,5100,
Knowledge of languages,            Nepali,,1260,
Knowledge of languages,            Oriya languages,,435,
Knowledge of languages,              Odia,,225,
Knowledge of languages,"              Oriya, n.o.s.",,215,
Knowledge of languages,            Punjabi (Panjabi),,37835,
Knowledge of languages,            Rohingya,,0,
Knowledge of languages,            Sindhi,,1355,
Knowledge of languages,            Sinhala (Sinhalese),,2005,
Knowledge of languages,            Urdu,,55765,
Knowledge of languages,"            Indo-Aryan languages, n.i.e.",,920,
Knowledge of languages,          Iranian languages,,8635,
Knowledge of languages,            Baluchi,,30,
Knowledge of languages,            Kurdish,,490,
Knowledge of languages,            Parsi,,10,
Knowledge of languages,            Pashto,,2055,
Knowledge of languages,            Persian languages,,6505,
Knowledge of languages,              Dari,,3085,
Knowledge of languages,              Iranian Persian,,3105,
Knowledge of languages,"              Persian (Farsi), n.o.s.",,480,
Knowledge of languages,"            Iranian languages, n.i.e.",,15,
Knowledge of languages,"          Indo-Iranian languages, n.i.e.",,150,
Knowledge of languages,        Italic (Romance) languages,,59405,
Knowledge of languages,          Catalan,,15,
Knowledge of languages,          Italian,,16055,
Knowledge of languages,          Portuguese,,18895,
Knowledge of languages,          Romanian,,3120,
Knowledge of languages,          Spanish,,24075,
Knowledge of languages,"          Italic (Romance) languages, n.i.e.",,85,
Knowledge of languages,"        Indo-European languages, n.i.e.",,110,
Knowledge of languages,      Japanese,,1775,
Knowledge of languages,      Korean,,5260,
Knowledge of languages,      Mongolian,,55,
Knowledge of languages,      Niger-Congo languages,,6195,
Knowledge of languages,        Akan (Twi),,1225,
Knowledge of languages,        Bamanankan,,20,
Knowledge of languages,        Edo,,315,
Knowledge of languages,        Éwé,,100,
Knowledge of languages,"        Fulah (Pular, Pulaar, Fulfulde)",,95,
Knowledge of languages,        Ga,,195,
Knowledge of languages,        Ganda,,50,
Knowledge of languages,        Gikuyu,,110,
Knowledge of languages,        Igbo,,500,
Knowledge of languages,        Kinyarwanda (Rwanda),,100,
Knowledge of languages,        Lingala,,190,
Knowledge of languages,        Luba-Kasai,,10,
Knowledge of languages,        Mòoré,,0,
Knowledge of languages,        Mwani,,45,
Knowledge of languages,        Ndebele,,40,
Knowledge of languages,        Rundi (Kirundi),,75,
Knowledge of languages,        Shona,,130,
Knowledge of languages,        Soninke,,0,
Knowledge of languages,        Sotho-Tswana languages,,30,
Knowledge of languages,        Swahili,,1550,
Knowledge of languages,        Wojenaka,,15,
Knowledge of languages,        Wolof,,65,
Knowledge of languages,        Yoruba,,1455,
Knowledge of languages,"        Niger-Congo languages, n.i.e.",,685,
Knowledge of languages,      Nilo-Saharan languages,,65,
Knowledge of languages,        Dinka,,0,
Knowledge of languages,        Nuer,,0,
Knowledge of languages,"        Nilo-Saharan languages, n.i.e.",,60,
Knowledge of languages,"        African, n.o.s.",,35,
Knowledge of languages,      Sign languages,,675,
Knowledge of languages,        American Sign Language,,585,
Knowledge of languages,        Quebec Sign Language,,0,
Knowledge of languages,"        Sign languages, n.i.e.",,125,
Knowledge of languages,      Sino-Tibetan languages,,47480,
Knowledge of languages,        Chinese languages,,47005,
Knowledge of languages,          Hakka,,400,
Knowledge of languages,          Mandarin,,31700,
Knowledge of languages,          Min Dong,,40,
Knowledge of languages,"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,1660,
Knowledge of languages,          Wu (Shanghainese),,465,
Knowledge of languages,          Yue (Cantonese),,19900,
Knowledge of languages,"          Chinese, n.o.s.",,435,
Knowledge of languages,"          Chinese languages, n.i.e.",,40,
Knowledge of languages,        Tibeto-Burman languages,,455,
Knowledge of languages,          Burmese,,115,
Knowledge of languages,          Kuki-Chin languages,,0,
Knowledge of languages,          Karenic languages,,0,
Knowledge of languages,            S'gaw Karen,,0,
Knowledge of languages,"            Karenic languages, n.i.e.",,0,
Knowledge of languages,          Tibetan,,290,
Knowledge of languages,"          Tibeto-Burman languages, n.i.e.",,55,
Knowledge of languages,"        Sino-Tibetan languages, n.i.e.",,45,
Knowledge of languages,      Tai-Kadai languages,,440,
Knowledge of languages,        Lao,,210,
Knowledge of languages,        Thai,,290,
Knowledge of languages,"        Tai-Kadai languages, n.i.e.",,0,
Knowledge of languages,      Turkic languages,,2440,
Knowledge of languages,        Azerbaijani,,105,
Knowledge of languages,        Kazakh,,10,
Knowledge of languages,        Turkish,,2245,
Knowledge of languages,        Uyghur,,45,
Knowledge of languages,        Uzbek,,55,
Knowledge of languages,"        Turkic languages, n.i.e.",,45,
Knowledge of languages,      Uralic languages,,1835,
Knowledge of languages,        Estonian,,140,
Knowledge of languages,        Finnish,,145,
Knowledge of languages,        Hungarian,,1560,
Knowledge of languages,"      Other languages, n.i.e.",,135,
Indigenous population,Total - Indigenous identity for the population in private households - 25% sample data,44,712825,
Indigenous population,  Indigenous identity,45,3555,
Indigenous population,    Single Indigenous responses,46,3375,
Indigenous population,      First Nations (North American Indian),,1950,
Indigenous population,      Métis,,1395,
Indigenous population,      Inuk (Inuit),,25,
Indigenous population,    Multiple Indigenous responses,47,55,
Indigenous population,    Indigenous responses not included elsewhere,48,125,
Indigenous population,  Non-Indigenous identity,,709270,
